Colony,Date,Survey.Start,Survey.End,Sparrow,Hedge,Grass,Tree,Roof,Artificial.Surface,Bush,Bird.Feeder,Colony.Size,DistHdg,DistRf,Aflag
Baronald Drive B,05/07/16,13.09,13.23,1,0,0.7,0.3,0,0,0,0,6,-0.144565819,-0.092224176,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0,0,1,0,0,0,6,0.168913747,-1.083433583,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0,0,1,0,0,0,6,0.168913747,-1.083433583,0
Baronald Drive B,05/07/16,13.09,13.23,1,0,0,0,1,0,0,0,6,0.168913747,-1.083433583,0
Baronald Drive B,05/07/16,13.09,13.23,0,0.5,0,0,0,0.5,0,0,6,-0.771524951,0.238178959,1
Baronald Drive B,05/07/16,13.09,13.23,0,0.5,0,0,0,0.5,0,0,6,-0.771524951,0.238178959,1
Baronald Drive B,05/07/16,13.09,13.23,0,0.1,0,0,0,0.9,0,0,6,-0.771524951,0.238178959,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0,0,0,0,1,0,6,-0.771524951,-0.092224176,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0,0,0,0,1,0,6,-0.771524951,0.238178959,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0.3,0,0,0.7,0,0,6,-0.771524951,0.568582095,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0.2,0.8,0,0,0,0,6,-0.771524951,0.238178959,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0,0,0,1,0,0,6,-0.771524951,0.238178959,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0,0,0.3,0,0.7,0,6,-0.771524951,-0.753030447,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,1,0,0,0,0,0,6,-0.771524951,-0.422627312,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0,0,0,0,1,0,6,-0.771524951,0.238178959,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0,0,0,1,0,0,6,-0.458045385,-0.092224176,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0,0,0,0.1,0.9,0,6,-0.144565819,0.238178959,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,1,0,0,0,0,0,6,-0.144565819,0.238178959,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0,0,0,1,0,0,6,-0.144565819,0.568582095,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,1,0,0,0,0,0,6,0.168913747,-0.422627312,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0,0,1,0,0,0,6,0.168913747,-1.083433583,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,1,0,0,0,0,0,6,0.168913747,0.238178959,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0,0,1,0,0,0,6,0.795872879,-1.083433583,1
Baronald Drive B,05/07/16,13.09,13.23,0,0,0,0,1,0,0,0,6,0.795872879,-1.083433583,1
Bearsden 1,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,12,-1.148933098,0.308057239,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,12,-1.148933098,0.308057239,0
Bearsden 1,12/10/17,09:00,12:00,1,0,1,0,0,0,0,0,12,-0.785307564,0.063837923,0
Bearsden 1,12/10/17,09:00,12:00,1,0,1,0,0,0,0,0,12,-0.785307564,0.063837923,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,12,-1.148933098,1.012458406,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,1,0,0,0,0,12,-1.148933098,-0.034051638,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,0.8,0,0.2,0,0,12,-0.924449988,-0.812122268,0
Bearsden 1,12/10/17,09:00,12:00,1,1,0,0,0,0,0,0,12,-0.499601787,0.079480069,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,12,-0.365097444,0.950898992,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,12,-0.259349202,-1.224873095,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,1,0,0,0,0,12,-0.16565997,0.626450603,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,0,0,0.8,0.2,0,12,-0.138759102,1.742088841,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,0,0,0,1,0,12,0.033777504,1.483741135,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,1,0,0,0,0,12,0.049546978,1.765299768,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0.8,0,0,0,0.2,0,12,0.063461221,-0.914553097,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,0,0,0,1,0,12,0.081085928,-0.587077196,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,1,0,0,0,0,12,0.267536776,0.404433043,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,1,0,0,0,0,12,0.269392008,1.501401623,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,0,1,0,0,0,12,0.315772816,0.176865044,0
Bearsden 1,12/10/17,09:00,12:00,1,0,0,1,0,0,0,0,12,1.085694227,1.919702889,0
Bearsden 1,12/10/17,09:00,12:00,0,0,1,0,0,0,0,0,0,-0.994948816,0.826266407,1
Bearsden 1,12/10/17,09:00,12:00,0,0,0,0,0,1,0,0,0,-0.944857543,-0.640058659,1
Bearsden 1,12/10/17,09:00,12:00,0,0,1,0,0,0,0,0,0,-0.936508998,-0.711205195,1
